;drug;gene;p;mean1;mean2;diff;p.adj
2132;Ruxolitinib;gain8q;0,681508288537704;0,990944769396368;0,994857664503996;-0,00391289510762838;0,930856153633385
2133;Ruxolitinib;trisomy12;0,00723104624843954;0,993697126034614;0,974828608310266;0,0188685177243479;0,128490129491503
2134;Ruxolitinib;ATM;0,558097454524843;0,98973744100441;0,99500160082658;-0,00526415982216999;0,898530532461308
2135;Ruxolitinib;BIRC3;0,816844097819678;0,990250374351974;0,986825230474433;0,00342514387754045;0,965700805623923
2136;Ruxolitinib;BRAF;0,16554631508808;0,988693925257184;1,00392111119062;-0,0152271859334394;0,626049639050693
2137;Ruxolitinib;CSMD3;0,790276031445096;0,990256171828645;0,986016676617994;0,00423949521065059;0,96343000674684
2138;Ruxolitinib;DDX3X;0,174383833526838;0,990751870632288;0,971957736909562;0,0187941337227254;0,63322654707462
2139;Ruxolitinib;EGR2;0,575587847329299;0,990431737529567;0,983463784739939;0,00696795278962858;0,901429103275037
2140;Ruxolitinib;FAT2;0,803049180627538;0,990249891448;0,986274172224434;0,00397571922356577;0,965700805623923
2141;Ruxolitinib;FAT4;0,932165242644921;0,990120262463934;0,991379146555843;-0,00125888409190966;0,984071155588344
2142;Ruxolitinib;FBXW7;0,430025315106435;0,990576634596342;0,980266608827313;0,010310025769029;0,8588113641751
2143;Ruxolitinib;HIST1H1E;0,268353869065961;0,990574847634649;0,972950968571816;0,0176238790628331;0,731442404179787
2144;Ruxolitinib;IKZF3;0,813141777091482;0,990252333205611;0,986756670597137;0,00349566260847378;0,965700805623923
2145;Ruxolitinib;KRAS;0,501315069252879;0,990187144488603;0,981832600079658;0,00835454440894545;0,8875571532352
2146;Ruxolitinib;MED12;0,736582575674838;0,990303250649378;0,985640646388294;0,00466260426108378;0,949467400066488
2147;Ruxolitinib;NFKBIE;0,616171009972333;0,989895007910673;0,995856493007486;-0,00596148509681271;0,916921243162126
2148;Ruxolitinib;NOTCH1;0,438740078080448;0,990344959603459;0,984242897027692;0,00610206257576673;0,86446782431054
2149;Ruxolitinib;POT1;0,475965893488199;0,990468765157533;0,980592453889577;0,00987631126795574;0,879584971166191
2150;Ruxolitinib;RPS15;0,0745013315954319;0,990770005955432;0,959785371712614;0,0309846342428176;0,464818445013565
2151;Ruxolitinib;RYR2;0,95229283730707;0,990132522724871;0,991086289872725;-0,000953767147853557;0,987985465092687
2152;Ruxolitinib;SF3B1;0,202796747563551;0,98817211055403;0,99671322402202;-0,00854111346799025;0,678928241843194
2153;Ruxolitinib;TP53;0,518847351776105;0,988757451372028;0,992882454858167;-0,00412500348613898;0,898530532461308
2154;Ruxolitinib;XPO1;0,139125369805761;0,990804713428321;0,97034603163055;0,0204586817977704;0,585431707584254
2155;Ruxolitinib;ZMYM3;0,366674327293302;0,992614815274447;1,00822798232723;-0,015613167052786;0,814586937328538
2156;Ruxolitinib;U1;0,425067047901324;0,991937028595945;0,980257084768461;0,0116799438274835;0,85587349275217
2157;SB-203580;IGHV.status;0,0437054149082751;1,02924294702247;1,0385207867182;-0,00927783969572493;0,362444900487668
2158;SB-203580;del11q;0,52338252549409;1,03436904795134;1,03855989414759;-0,00419084619624588;0,898530532461308
2159;SB-203580;del13q;0,249944559489982;1,03127604971011;1,03688274152942;-0,00560669181930806;0,715129157263526
2160;SB-203580;del15q;0,461556601398645;1,03687109980259;1,02686147047849;0,0100096293240926;0,871389650364678
2161;SB-203580;del17p;0,595686729491288;1,03451711154612;1,03822804938896;-0,00371093784283616;0,908828352584773
