"","x"
"A1BG",0.201272818105526
"A1BG-AS1",0.706671382450612
"A1CF",0.343791216845918
"A2M",0.389260799387784
"A2M-AS1",0.374366028671648
"A2ML1",0.0737682260046215
"A2MP1",-0.178083423246709
"A3GALT2",-0.798992875689975
"AAAS",1.06906430488313
"AACS",-0.0648601390802645
"AAED1",-2.31956603066991
"AAGAB",-1.48742873071206
"AAK1",-0.839943597633882
"AAMDC",1.41391400333986
"AAMP",-0.252915986645084
"AANAT",-0.812181109212929
"AAR2",-2.3178402407849
"AARS",0.201320902365443
"AARS2",0.518983061894633
"AARSD1",-1.13629916337469
"AASDH",-0.754845172388912
"AASDHPPT",-0.00732457781307627
"AASS",0.0698613785762516
"AATBC",-1.48807204167444
"AATK",-1.40500232164369
"ABAT",0.650011823045945
"ABCA1",0.917160142034555
"ABCA10",-1.39039631793676
"ABCA11P",1.17651045497423
"ABCA12",1.0821258169906
"ABCA17P",0.784248444630924
"ABCA2",0.505139454186112
"ABCA3",1.2765542613962
"ABCA5",-0.351847535592986
"ABCA6",0.684796155794766
"ABCA7",1.01905474417204
"ABCA8",-0.910585465906207
"ABCA9",-1.1944605952543
"ABCA9-AS1",-1.07445478089163
"ABCB1",-0.122911451741858
"ABCB10",-0.933619442148399
"ABCB4",-1.07171719198597
"ABCB6",-0.550350048106274
"ABCB7",-1.28614269113069
"ABCB8",-0.234020832632664
"ABCB9",-0.320275114093872
"ABCC1",1.37090421447006
"ABCC10",0.971622326097009
"ABCC11",-0.333144049320476
"ABCC2",-1.58038512607498
"ABCC3",-0.887664339535469
"ABCC4",-0.546636171725588
"ABCC5",1.37127252794011
"ABCC6",2.22089766486651
"ABCC8",1.06904419150537
"ABCD1",2.01576247889305
"ABCD2",1.36483969185664
"ABCD3",-1.23170213751254
"ABCD4",0.102345540643991
"ABCE1",-1.74060561746525
"ABCF1",-2.80998618616193
"ABCF2",0.110720598447254
"ABCF3",-2.06796097758788
"ABCG1",0.746681451785386
"ABCG2",0.395827741612915
"ABCG4",-1.2793003426702
"ABHD1",-0.6223162285671
"ABHD10",0.946413169348435
"ABHD11",-0.54517144254224
"ABHD11-AS1",-0.507167305679477
"ABHD12",0.663372893223233
"ABHD12B",-0.632355749730249
"ABHD13",-0.86378569451609
"ABHD14A",0.562368715202856
"ABHD14A-ACY1",-0.0745028891054617
"ABHD14B",-0.588761161089419
"ABHD15",0.870652869213191
"ABHD15-AS1",-0.239017663406329
"ABHD16A",-1.87890787031767
"ABHD16B",0.699464656034356
"ABHD17A",0.401536785253342
"ABHD17AP3",-0.181088353523306
"ABHD17AP4",-1.52619335607983
"ABHD17AP6",0.119237240385853
"ABHD17B",-2.09266899747792
"ABHD17C",-1.03340578047477
"ABHD18",0.843775696153673
"ABHD2",-0.257595015349883
"ABHD3",1.33700481183343
"ABHD4",-0.586305568798634
"ABHD5",-2.30089101469254
"ABHD6",1.62721389573602
"ABHD8",0.520529434345431
"ABI1",-0.669668307613207
"ABI2",1.23951328955646
"ABI3",-0.689738690181843
"ABI3BP",-1.02821436414257
"ABL1",-0.343512184013477
"ABL2",-0.241103963387716
"ABLIM1",1.2021969809397
"ABLIM2",-1.09679126749819
"ABO",-1.48574481393817
"ABR",-0.0159209187156231
"ABRA",1.32370978982695
"ABRACL",-0.043502504214436
"ABT1",-2.11304122971253
"ABTB1",0.367364477896644
"ABTB2",-0.853276736414399
"ACAA1",0.0451930238017125
"ACAA2",-1.74238420283901
"ACACB",0.536759821118164
"ACAD10",2.01079544772199
"ACAD11",0.35221407127063
"ACAD8",-0.295573950057795
"ACAD9",-0.434761257474982
"ACADM",1.28545905882869
"ACADS",0.12550831462935
"ACADSB",0.100278191535549
"ACADVL",-1.13033972821422
"ACAP1",0.599174763286365
"ACAP2",0.150958794888932
"ACAP2-IT1",1.13039708010811
"ACAP3",-0.320209466332659
"ACAT1",0.604173204090953
"ACAT2",-0.827667340666653
"ACBD3",-1.10865337249515
"ACBD3-AS1",-0.049171459632981
"ACBD4",1.56752009833758
"ACBD5",-2.10229748504839
"ACBD6",1.13344923868634
"ACBD7",-1.56651569823638
"ACCS",-0.466982639301534
"ACD",-0.0256062553555275
"ACE",-0.550108092070949
"ACER1",-1.58903841354151
"ACER2",0.594169092103851
"ACER3",-0.813254187671502
"ACHE",-0.715960661341037
"ACIN1",-1.04897926265968
"ACKR2",-1.00850302701033
"ACKR3",-0.610009055679547
"ACKR4",0.0923316697201268
"ACLY",-0.370471111915764
"ACMSD",1.5102686027639
"ACO1",-0.356690889853208
"ACO2",-0.477524831844477
"ACOT1",-1.21909327945388
"ACOT12",0.929334233871189
"ACOT13",0.715669877280138
"ACOT2",-0.93603425818083
"ACOT4",1.31779530949798
"ACOT7",0.636752173032168
"ACOT8",1.28364106557712
"ACOT9",-1.27467155640817
"ACOX1",-0.561919466608882
"ACOX3",-0.4195377824426
"ACOXL",1.98278639310001
"ACOXL-AS1",1.3379869042643
"ACP1",-1.68132157414858
"ACP2",-0.210159988842421
"ACP5",-0.67851261733539
"ACP6",-0.16746888341933
"ACPT",-2.15449616199646
"ACRBP",1.02967779081355
"ACRV1",-1.19834784113937
"ACSBG1",-1.29899705925094
"ACSBG2",-0.715523715639655
"ACSF2",0.545297647139878
"ACSF3",1.0568196194661
"ACSL1",0.287579726397065
"ACSL3",-0.459348738096133
"ACSL4",-1.00075951076967
"ACSL5",0.72328487543241
"ACSL6",-0.294313977369046
"ACSM1",-0.320312758088753
"ACSM3",-1.75689501572783
"ACSM5",-0.684381526302049
"ACSM6",0.250947317152868
