"","x"
"7SK",-1.46788413791783
"A1BG",0.0123498270271226
"A1BG-AS1",0.407867502382221
"A1CF",1.61823486964369
"A2M",-1.79954695502918
"A2M-AS1",0.974593546086198
"A2ML1",1.06945845358125
"A2ML1-AS1",0.57634507131916
"A2MP1",0.450424777953098
"A3GALT2",2.25224346195142
"A4GALT",0.962527879969821
"AAAS",1.79004383786661
"AACS",2.38444141586103
"AACSP1",-3.69906024349696
"AADACL2",-2.01084092555936
"AADACL3",-0.483055883317152
"AAED1",-0.19136832406135
"AAGAB",0.444870188752811
"AAK1",1.42156715557543
"AAMDC",-1.57768249511931
"AAMP",-0.863733830317605
"AANAT",-1.18378861746054
"AAR2",-0.469340816734867
"AARD",-0.773555667861039
"AARS",-0.99098329553281
"AARS2",-0.485033392682316
"AARSD1",-1.58144201271212
"AASDH",-0.486888260756893
"AASDHPPT",-0.615109427944104
"AASS",1.31361191670842
"AATF",-0.283184705069578
"AATK",0.69060581650785
"AB015752.3",0.427398800716316
"AB019441.29",0.750113771967631
"ABAT",-0.118018891764239
"ABC7-42389800N19.1",0.824135104818952
"ABC7-43041300I9.1",-0.361538641571172
"ABCA1",2.03183462017255
"ABCA10",-0.806859337667531
"ABCA11P",0.35481211949606
"ABCA12",1.73935306760563
"ABCA13",0.915347200105702
"ABCA17P",-0.256002936101862
"ABCA2",-0.382042386379207
"ABCA3",1.18942175002012
"ABCA4",2.09414466224768
"ABCA5",0.215799230102455
"ABCA6",0.43590529340514
"ABCA7",-0.782814753470646
"ABCA8",-1.96527150779589
"ABCA9",0.720759980925635
"ABCA9-AS1",0.709674944176234
"ABCB1",0.553658239467699
"ABCB10",-1.35926540131736
"ABCB10P1",-1.27120691868708
"ABCB11",-0.113358031877864
"ABCB4",0.157401680017638
"ABCB5",-1.62736029120272
"ABCB6",0.648297433623046
"ABCB7",-0.138366525577859
"ABCB8",0.680908382194055
"ABCB9",1.57441466271653
"ABCC1",0.409765823014236
"ABCC10",0.210885943036477
"ABCC11",0.908918173614395
"ABCC13",-0.160790313714328
"ABCC2",-2.08436276091436
"ABCC3",0.291377348919261
"ABCC4",0.97426479556818
"ABCC5",0.261568158353577
"ABCC6",0.627806216397421
"ABCC8",-2.48626665972788
"ABCC9",-2.09583638834198
"ABCD1",1.00666638420675
"ABCD2",-0.442574559547251
"ABCD3",-0.834608730259821
"ABCD4",-0.254899790473829
"ABCE1",-0.774507141675507
"ABCF1",0.79509586908893
"ABCF2",0.462400258456856
"ABCF2P1",-2.00174520180662
"ABCF3",0.961815013535413
"ABCG1",1.78317037091307
"ABCG2",0.468427941189461
"ABCG4",0.377270248837874
"ABCG5",0.821025451142884
"ABCG8",1.5039869122803
"ABHD1",-0.433351587114972
"ABHD10",-1.13178366384469
"ABHD11",-0.907702689920205
"ABHD12",1.46146258541125
"ABHD12B",1.89306115191978
"ABHD13",0.275600913652306
"ABHD14A",-0.32112349153955
"ABHD14B",-0.834057762361751
"ABHD15",-0.0971933898550763
"ABHD16A",0.788843798416461
"ABHD16B",-0.0432169882061578
"ABHD17A",-0.578772017708752
"ABHD17AP3",0.918854225556726
"ABHD17AP4",-1.96247030240808
"ABHD17AP5",-1.16344592420284
"ABHD17AP6",0.862544399503161
"ABHD17B",0.163479739357193
"ABHD17C",1.55392594029638
"ABHD2",-0.790906956469113
"ABHD3",0.138451315426468
"ABHD4",-0.321927602627505
"ABHD5",0.79414525728826
"ABHD6",0.834067905811845
"ABHD8",0.0191374915989937
"ABI1",-0.958538469945742
"ABI2",-0.261049729562011
"ABI3",-2.14109259875951
"ABI3BP",-0.599254736419254
"ABL1",1.43232039656657
"ABL2",0.286810601723525
"ABLIM1",-0.523395105814373
"ABLIM2",-1.26579754285191
"ABLIM3",0.224082915598825
"ABO",-4.1809552987969
"ABR",0.303034402628983
"ABRA",-0.0243763071009297
"ABRACL",0.0389371722326579
"ABT1",0.0925969436429256
"ABT1P1",-0.391985283728652
"ABTB1",-0.672861233173436
"ABTB2",-0.344306542947769
"AC000032.2",-0.246791606122212
"AC000036.4",-0.734097101904744
"AC000068.10",0.542018321665549
"AC000068.5",1.67222804527403
"AC000068.9",0.92992629814524
"AC000078.5",0.66217894431496
"AC000089.3",-0.0994568432549186
"AC000095.9",0.733464074392586
"AC000120.7",-0.457302887181628
"AC000123.4",1.27891108342202
"AC000367.1",0.72499696698795
"AC002055.4",-1.5165145716338
"AC002056.3",1.05106070118168
"AC002059.10",0.308915371310331
"AC002066.1",0.120201586128255
"AC002075.4",1.18478552758229
"AC002076.10",-0.232942802908482
"AC002115.9",-2.42878670998887
"AC002116.7",-1.57424819604183
"AC002117.1",-1.09000271398954
"AC002128.4",-0.061904094271479
"AC002128.5",1.34808435382983
"AC002306.1",0.0265093173609175
"AC002310.10",1.67091493661419
"AC002310.12",-0.89892354928322
"AC002310.17",2.73533073091421
"AC002310.7",0.0715387916527437
"AC002398.11",-0.397064978984768
"AC002398.12",0.19734990224573
"AC002398.13",0.412718755934846
"AC002398.5",1.32599838303235
"AC002400.1",1.60730693828374
"AC002401.1",-0.249635853858847
"AC002429.5",1.63353167482976
"AC002451.3",-2.15430989538559
"AC002454.1",1.87832710064359
"AC002456.2",0.61867510732283
"AC002467.7",0.33079845036783
"AC002472.13",2.46037386577859
"AC002480.2",-1.44222818771139
"AC002480.3",-1.2759685554926
"AC002480.4",1.02527133843529
"AC002480.5",-0.804376849327831
"AC002519.8",0.902463024970736
"AC002543.2",-0.255748030217902
"AC002550.5",0.832765706262957
"AC002551.1",0.438670837834051
